,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1633334400000,0.070612,0.070644,0.07056,0.070607,510.2357,ETH/BTC,binance
0.001,1633334700000,0.070607,0.070618,0.070448,0.070453,236.4781,ETH/BTC,binance
0.002,1633335000000,0.070451,0.070505,0.070417,0.07044,99.5012,ETH/BTC,binance
0.003,1633335300000,0.070429,0.070462,0.070371,0.0704,184.2038,ETH/BTC,binance
0.004,1633335600000,0.070399,0.070399,0.070323,0.070375,124.5839,ETH/BTC,binance
0.005,1633335900000,0.070375,0.070376,0.070319,0.070349,175.5966,ETH/BTC,binance
0.006,1633336200000,0.07035,0.070353,0.07029,0.070319,233.5343,ETH/BTC,binance
0.007,1633336500000,0.070321,0.070348,0.070279,0.070315,178.0789,ETH/BTC,binance
0.008,1633336800000,0.070312,0.070366,0.070297,0.070334,135.076,ETH/BTC,binance
0.009,1633337100000,0.07033,0.070342,0.070265,0.07033,145.2185,ETH/BTC,binance
0.01,1633337400000,0.070326,0.070326,0.070238,0.070288,163.8869,ETH/BTC,binance
0.011,1633337700000,0.070287,0.070304,0.070253,0.070291,107.2078,ETH/BTC,binance
0.012,1633338000000,0.070282,0.07029,0.070246,0.070252,217.8953,ETH/BTC,binance
0.013,1633338300000,0.070253,0.070267,0.070222,0.070239,124.4976,ETH/BTC,binance
0.014,1633338600000,0.070238,0.070257,0.070211,0.070211,101.861,ETH/BTC,binance
0.015,1633338900000,0.070211,0.07029,0.070208,0.070289,99.7039,ETH/BTC,binance
0.016,1633339200000,0.070298,0.070405,0.070298,0.070356,150.2881,ETH/BTC,binance
0.017,1633339500000,0.070345,0.070352,0.070293,0.070345,103.9671,ETH/BTC,binance
0.018,1633339800000,0.070345,0.070388,0.07033,0.070356,145.4563,ETH/BTC,binance
0.019,1633340100000,0.070356,0.070385,0.070273,0.070274,199.1732,ETH/BTC,binance
0.02,1633340400000,0.070271,0.070288,0.070238,0.070266,123.7299,ETH/BTC,binance
0.021,1633340700000,0.070261,0.070308,0.070234,0.070282,156.6959,ETH/BTC,binance
0.022,1633341000000,0.070277,0.070299,0.070214,0.070215,112.705,ETH/BTC,binance
0.023,1633341300000,0.070225,0.070274,0.070195,0.070257,121.0448,ETH/BTC,binance
0.024,1633341600000,0.070254,0.070336,0.070195,0.070323,125.5798,ETH/BTC,binance
0.025,1633341900000,0.070336,0.070338,0.070257,0.070292,92.5017,ETH/BTC,binance
0.026,1633342200000,0.070295,0.070323,0.070268,0.070271,98.6143,ETH/BTC,binance
0.027,1633342500000,0.070279,0.070279,0.070215,0.070245,153.6551,ETH/BTC,binance
0.028,1633342800000,0.070237,0.070242,0.070071,0.070078,398.214,ETH/BTC,binance
0.029,1633343100000,0.070078,0.070243,0.070068,0.070234,327.576,ETH/BTC,binance
0.03,1633343400000,0.070248,0.070272,0.070154,0.070157,384.0774,ETH/BTC,binance
0.031,1633343700000,0.070161,0.070209,0.070113,0.070158,245.0896,ETH/BTC,binance
0.032,1633344000000,0.070162,0.07018,0.070112,0.070133,132.4529,ETH/BTC,binance
0.033,1633344300000,0.070134,0.070194,0.070105,0.070187,148.6292,ETH/BTC,binance
0.034,1633344600000,0.070198,0.070223,0.070154,0.070182,172.2311,ETH/BTC,binance
0.035,1633344900000,0.070188,0.070273,0.070174,0.070222,285.1541,ETH/BTC,binance
0.036,1633345200000,0.070223,0.070247,0.070107,0.070157,255.0408,ETH/BTC,binance
0.037,1633345500000,0.070154,0.070173,0.070091,0.070102,155.5652,ETH/BTC,binance
0.038,1633345800000,0.070104,0.070144,0.070044,0.070113,379.6093,ETH/BTC,binance
0.039,1633346100000,0.070101,0.070138,0.070089,0.070134,133.8804,ETH/BTC,binance
0.04,1633346400000,0.070138,0.070163,0.070077,0.070077,62.8699,ETH/BTC,binance
0.041,1633346700000,0.070087,0.070105,0.069721,0.069754,1086.1885,ETH/BTC,binance
0.042,1633347000000,0.069755,0.069865,0.0696,0.069789,771.6475,ETH/BTC,binance
0.043,1633347300000,0.069789,0.06985,0.069752,0.069779,224.4061,ETH/BTC,binance
0.044,1633347600000,0.069801,0.069821,0.069656,0.069676,338.4024,ETH/BTC,binance
0.045,1633347900000,0.069677,0.069829,0.069673,0.069823,282.6599,ETH/BTC,binance
0.046,1633348200000,0.069824,0.069845,0.069717,0.069759,147.5033,ETH/BTC,binance
0.047,1633348500000,0.069759,0.069779,0.069619,0.069631,252.9988,ETH/BTC,binance
0.048,1633348800000,0.069636,0.069646,0.069504,0.069574,561.7521,ETH/BTC,binance
0.049,1633349100000,0.069577,0.0698,0.069558,0.069769,389.9695,ETH/BTC,binance
0.05,1633349400000,0.069783,0.069828,0.069757,0.069813,166.5477,ETH/BTC,binance
0.051,1633349700000,0.06981,0.069844,0.069779,0.069836,176.1989,ETH/BTC,binance
0.052,1633350000000,0.069837,0.069853,0.069764,0.069808,120.6104,ETH/BTC,binance
0.053,1633350300000,0.069808,0.07,0.069797,0.069999,441.5283,ETH/BTC,binance
0.054,1633350600000,0.07,0.070022,0.069872,0.069883,187.5267,ETH/BTC,binance
0.055,1633350900000,0.06988,0.069935,0.06985,0.069916,123.9919,ETH/BTC,binance
0.056,1633351200000,0.06992,0.069932,0.069879,0.069911,89.0853,ETH/BTC,binance
0.057,1633351500000,0.069915,0.070039,0.06989,0.069999,158.8903,ETH/BTC,binance
0.058,1633351800000,0.070006,0.070119,0.069995,0.070068,178.2539,ETH/BTC,binance
0.059,1633352100000,0.070068,0.070154,0.070057,0.070111,181.3123,ETH/BTC,binance
0.06,1633352400000,0.07011,0.070182,0.070104,0.070146,148.6567,ETH/BTC,binance
0.061,1633352700000,0.070132,0.070299,0.070093,0.070254,277.9113,ETH/BTC,binance
0.062,1633353000000,0.070251,0.070394,0.070211,0.070283,292.5112,ETH/BTC,binance
0.063,1633353300000,0.070284,0.07044,0.070276,0.07044,351.5685,ETH/BTC,binance
0.064,1633353600000,0.070438,0.070439,0.070333,0.070369,1239.3118,ETH/BTC,binance
0.065,1633353900000,0.070372,0.070495,0.070319,0.070481,316.4043,ETH/BTC,binance
0.066,1633354200000,0.070474,0.070541,0.070385,0.070498,366.2199,ETH/BTC,binance
0.067,1633354500000,0.070498,0.070795,0.070474,0.070688,956.7224,ETH/BTC,binance
0.068,1633354800000,0.070693,0.070701,0.070589,0.070625,835.5185,ETH/BTC,binance
0.069,1633355100000,0.070637,0.070637,0.070439,0.070506,268.5205,ETH/BTC,binance
0.07,1633355400000,0.070507,0.070521,0.070445,0.070486,137.2674,ETH/BTC,binance
0.071,1633355700000,0.070486,0.070536,0.070401,0.070421,208.3286,ETH/BTC,binance
0.072,1633356000000,0.070429,0.070696,0.070398,0.070591,701.3319,ETH/BTC,binance
0.073,1633356300000,0.070598,0.070622,0.070459,0.07055,380.9418,ETH/BTC,binance
0.074,1633356600000,0.07055,0.070588,0.070466,0.070527,174.6606,ETH/BTC,binance
0.075,1633356900000,0.070529,0.070598,0.07048,0.070488,199.7571,ETH/BTC,binance
0.076,1633357200000,0.070482,0.070519,0.070421,0.070433,189.464,ETH/BTC,binance
0.077,1633357500000,0.070434,0.070443,0.070329,0.070385,243.1404,ETH/BTC,binance
0.078,1633357800000,0.070386,0.070405,0.07031,0.070311,201.4842,ETH/BTC,binance
0.079,1633358100000,0.07032,0.070381,0.070255,0.070296,321.9538,ETH/BTC,binance
0.08,1633358400000,0.070297,0.070346,0.070107,0.070169,752.9711,ETH/BTC,binance
0.081,1633358700000,0.070164,0.070183,0.069968,0.070079,879.9781,ETH/BTC,binance
0.082,1633359000000,0.070078,0.070223,0.070021,0.070064,509.1031,ETH/BTC,binance
0.083,1633359300000,0.070065,0.070068,0.069812,0.069974,990.8571,ETH/BTC,binance
0.084,1633359600000,0.069973,0.070047,0.069754,0.069806,1053.7262,ETH/BTC,binance
0.085,1633359900000,0.069806,0.06988,0.069727,0.069735,384.8819,ETH/BTC,binance
0.086,1633360200000,0.069727,0.0699,0.069712,0.069779,723.1733,ETH/BTC,binance
0.087,1633360500000,0.069771,0.069771,0.069557,0.069653,504.7962,ETH/BTC,binance
0.088,1633360800000,0.069649,0.069673,0.069551,0.069621,257.5116,ETH/BTC,binance
0.089,1633361100000,0.069624,0.069717,0.069535,0.069684,583.8981,ETH/BTC,binance
0.09,1633361400000,0.069687,0.069754,0.069584,0.069742,302.6072,ETH/BTC,binance
0.091,1633361700000,0.069755,0.069816,0.06962,0.069647,240.4277,ETH/BTC,binance
0.092,1633362000000,0.069642,0.069715,0.06962,0.069694,121.5218,ETH/BTC,binance
0.093,1633362300000,0.069692,0.06981,0.06967,0.069756,180.4786,ETH/BTC,binance
0.094,1633362600000,0.069757,0.069831,0.069721,0.069793,157.5834,ETH/BTC,binance
0.095,1633362900000,0.069782,0.069793,0.069567,0.069573,285.5391,ETH/BTC,binance
0.096,1633363200000,0.069573,0.069573,0.06941,0.069489,454.4893,ETH/BTC,binance
0.097,1633363500000,0.069489,0.069544,0.069411,0.069472,397.0806,ETH/BTC,binance
0.098,1633363800000,0.069476,0.069705,0.069471,0.069657,354.8298,ETH/BTC,binance
0.099,1633364100000,0.06966,0.069716,0.06935,0.06937,490.4527,ETH/BTC,binance
