,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1631497500000,0.073527,0.073746,0.073502,0.073738,202.5637,ETH/BTC,binance
0.001,1631497800000,0.073741,0.073805,0.073662,0.073761,166.464,ETH/BTC,binance
0.002,1631498100000,0.073758,0.073764,0.073674,0.073676,129.5968,ETH/BTC,binance
0.003,1631498400000,0.073673,0.073936,0.073648,0.073904,267.35,ETH/BTC,binance
0.004,1631498700000,0.073895,0.073895,0.073776,0.07381,301.8265,ETH/BTC,binance
0.005,1631499000000,0.073813,0.073834,0.07371,0.073799,220.2843,ETH/BTC,binance
0.006,1631499300000,0.0738,0.0738,0.073704,0.073714,126.7412,ETH/BTC,binance
0.007,1631499600000,0.07372,0.07372,0.073571,0.073571,209.0683,ETH/BTC,binance
0.008,1631499900000,0.073572,0.073594,0.073396,0.073458,461.0345,ETH/BTC,binance
0.009,1631500200000,0.073458,0.073459,0.072904,0.07334,1417.8886,ETH/BTC,binance
0.01,1631500500000,0.073337,0.073422,0.07327,0.073311,202.9842,ETH/BTC,binance
0.011,1631500800000,0.073311,0.073335,0.073164,0.073199,258.1045,ETH/BTC,binance
0.012,1631501100000,0.073191,0.073233,0.07307,0.073174,240.2391,ETH/BTC,binance
0.013,1631501400000,0.073181,0.073188,0.073091,0.073168,331.7945,ETH/BTC,binance
0.014,1631501700000,0.073168,0.0732,0.07305,0.0732,392.3537,ETH/BTC,binance
0.015,1631502000000,0.073204,0.073284,0.073081,0.073259,494.4185,ETH/BTC,binance
0.016,1631502300000,0.073263,0.07349,0.07325,0.073435,382.3848,ETH/BTC,binance
0.017,1631502600000,0.07343,0.07343,0.073226,0.073276,211.4025,ETH/BTC,binance
0.018,1631502900000,0.073267,0.073299,0.073128,0.073234,201.2192,ETH/BTC,binance
0.019,1631503200000,0.07325,0.073341,0.073221,0.073292,230.7142,ETH/BTC,binance
0.02,1631503500000,0.073299,0.073338,0.073157,0.073185,222.9215,ETH/BTC,binance
0.021,1631503800000,0.073184,0.073184,0.07305,0.073109,186.6853,ETH/BTC,binance
0.022,1631504100000,0.073098,0.073297,0.073065,0.073238,200.6611,ETH/BTC,binance
0.023,1631504400000,0.073245,0.073245,0.073089,0.073099,198.4004,ETH/BTC,binance
0.024,1631504700000,0.073091,0.073219,0.07306,0.073218,297.2747,ETH/BTC,binance
0.025,1631505000000,0.073218,0.073219,0.07312,0.073141,126.1731,ETH/BTC,binance
0.026,1631505300000,0.073136,0.073136,0.072796,0.073024,825.7185,ETH/BTC,binance
0.027,1631505600000,0.072996,0.073265,0.072943,0.073211,520.6436,ETH/BTC,binance
0.028,1631505900000,0.073214,0.073219,0.073002,0.073002,283.0428,ETH/BTC,binance
0.029,1631506200000,0.073,0.073144,0.072957,0.073037,491.1971,ETH/BTC,binance
0.03,1631506500000,0.073083,0.073179,0.073026,0.073179,223.343,ETH/BTC,binance
0.031,1631506800000,0.073182,0.073468,0.073153,0.073281,471.7998,ETH/BTC,binance
0.032,1631507100000,0.073279,0.073362,0.073276,0.073306,218.8818,ETH/BTC,binance
0.033,1631507400000,0.0733,0.073365,0.073217,0.073244,315.0455,ETH/BTC,binance
0.034,1631507700000,0.073238,0.073486,0.073232,0.07346,406.291,ETH/BTC,binance
0.035,1631508000000,0.073468,0.073471,0.073317,0.073375,277.9911,ETH/BTC,binance
0.036,1631508300000,0.073373,0.073379,0.073253,0.073275,247.4703,ETH/BTC,binance
0.037,1631508600000,0.07327,0.073384,0.073261,0.073349,201.6198,ETH/BTC,binance
0.038,1631508900000,0.073349,0.073384,0.07325,0.073324,361.4641,ETH/BTC,binance
0.039,1631509200000,0.073324,0.073348,0.073248,0.073263,102.48,ETH/BTC,binance
0.04,1631509500000,0.073262,0.073468,0.073169,0.073449,550.6439,ETH/BTC,binance
0.041,1631509800000,0.073458,0.073496,0.073272,0.073272,510.8677,ETH/BTC,binance
0.042,1631510100000,0.073288,0.073305,0.0731,0.073189,522.6538,ETH/BTC,binance
0.043,1631510400000,0.073201,0.073205,0.073,0.073,234.7148,ETH/BTC,binance
0.044,1631510700000,0.073,0.073062,0.0729,0.073061,359.7133,ETH/BTC,binance
0.045,1631511000000,0.073062,0.073211,0.073031,0.073204,188.0626,ETH/BTC,binance
0.046,1631511300000,0.073209,0.07321,0.073144,0.073161,242.0118,ETH/BTC,binance
0.047,1631511600000,0.073161,0.073306,0.073144,0.073306,278.3638,ETH/BTC,binance
0.048,1631511900000,0.073306,0.073321,0.073203,0.073303,354.3867,ETH/BTC,binance
0.049,1631512200000,0.073312,0.073339,0.073225,0.073293,199.8461,ETH/BTC,binance
0.05,1631512500000,0.073294,0.073308,0.073225,0.073308,229.1541,ETH/BTC,binance
0.051,1631512800000,0.073308,0.073308,0.073184,0.073189,197.5356,ETH/BTC,binance
