,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1632097500000,0.070137,0.070137,0.069777,0.069904,599.7146,ETH/BTC,binance
0.001,1632097800000,0.069903,0.070021,0.069781,0.070018,311.7275,ETH/BTC,binance
0.002,1632098100000,0.070002,0.070003,0.069865,0.069958,188.4279,ETH/BTC,binance
0.003,1632098400000,0.069958,0.069997,0.069825,0.069887,176.1343,ETH/BTC,binance
0.004,1632098700000,0.069891,0.069977,0.069848,0.069933,130.5717,ETH/BTC,binance
0.005,1632099000000,0.069934,0.069953,0.069859,0.069948,140.4405,ETH/BTC,binance
0.006,1632099300000,0.069945,0.070038,0.06984,0.0699,168.4264,ETH/BTC,binance
0.007,1632099600000,0.069888,0.069985,0.069832,0.069977,136.2985,ETH/BTC,binance
0.008,1632099900000,0.069982,0.070141,0.069982,0.070112,117.2438,ETH/BTC,binance
0.009,1632100200000,0.070111,0.070132,0.070063,0.070116,151.2955,ETH/BTC,binance
0.01,1632100500000,0.070118,0.0702,0.070088,0.070093,239.0209,ETH/BTC,binance
0.011,1632100800000,0.070094,0.070106,0.070061,0.070067,130.2015,ETH/BTC,binance
0.012,1632101100000,0.070066,0.070119,0.070041,0.070067,228.5456,ETH/BTC,binance
0.013,1632101400000,0.070074,0.070144,0.070055,0.070087,99.0651,ETH/BTC,binance
0.014,1632101700000,0.070087,0.070148,0.070067,0.070133,103.8932,ETH/BTC,binance
0.015,1632102000000,0.070133,0.070209,0.070105,0.070175,125.3061,ETH/BTC,binance
0.016,1632102300000,0.070169,0.070225,0.070108,0.070125,90.8211,ETH/BTC,binance
0.017,1632102600000,0.070126,0.07015,0.070071,0.070086,114.218,ETH/BTC,binance
0.018,1632102900000,0.070094,0.070184,0.070087,0.070154,154.7666,ETH/BTC,binance
0.019,1632103200000,0.070158,0.070202,0.070106,0.070119,97.4862,ETH/BTC,binance
0.02,1632103500000,0.070118,0.070124,0.070031,0.070031,215.9175,ETH/BTC,binance
0.021,1632103800000,0.070027,0.070039,0.06993,0.069939,355.8089,ETH/BTC,binance
0.022,1632104100000,0.069942,0.069986,0.069878,0.06989,208.7211,ETH/BTC,binance
0.023,1632104400000,0.06989,0.06989,0.069807,0.069824,195.8192,ETH/BTC,binance
0.024,1632104700000,0.069826,0.06987,0.069758,0.069854,175.8877,ETH/BTC,binance
0.025,1632105000000,0.069856,0.070122,0.069729,0.070064,1949.412,ETH/BTC,binance
0.026,1632105300000,0.070094,0.070156,0.069845,0.070084,1644.2389,ETH/BTC,binance
0.027,1632105600000,0.070084,0.070131,0.069984,0.070123,498.0394,ETH/BTC,binance
0.028,1632105900000,0.070115,0.070119,0.070022,0.070038,283.8734,ETH/BTC,binance
0.029,1632106200000,0.070036,0.070097,0.069961,0.069981,247.6652,ETH/BTC,binance
0.03,1632106500000,0.069981,0.070004,0.069789,0.069791,322.9058,ETH/BTC,binance
0.031,1632106800000,0.069792,0.070019,0.069305,0.070019,2848.0089,ETH/BTC,binance
0.032,1632107100000,0.070018,0.070196,0.069959,0.070081,593.7006,ETH/BTC,binance
0.033,1632107400000,0.070082,0.070099,0.069939,0.070002,263.4191,ETH/BTC,binance
0.034,1632107700000,0.07,0.070208,0.069974,0.070173,417.3554,ETH/BTC,binance
0.035,1632108000000,0.070173,0.070347,0.070148,0.070338,537.1389,ETH/BTC,binance
0.036,1632108300000,0.070338,0.070372,0.070263,0.070287,420.6418,ETH/BTC,binance
0.037,1632108600000,0.070284,0.070292,0.070113,0.070119,242.9,ETH/BTC,binance
0.038,1632108900000,0.070119,0.070186,0.070046,0.070072,263.9319,ETH/BTC,binance
0.039,1632109200000,0.070063,0.070266,0.070053,0.070205,253.2274,ETH/BTC,binance
0.04,1632109500000,0.070211,0.070314,0.070165,0.070213,318.263,ETH/BTC,binance
0.041,1632109800000,0.070215,0.070237,0.070101,0.070106,254.1049,ETH/BTC,binance
0.042,1632110100000,0.070113,0.070138,0.06999,0.06999,391.7293,ETH/BTC,binance
0.043,1632110400000,0.06999,0.070144,0.069914,0.069929,463.2924,ETH/BTC,binance
0.044,1632110700000,0.069927,0.069946,0.069734,0.069838,375.146,ETH/BTC,binance
0.045,1632111000000,0.069838,0.069914,0.069726,0.069766,344.5739,ETH/BTC,binance
0.046,1632111300000,0.069766,0.069999,0.069731,0.069955,320.6642,ETH/BTC,binance
0.047,1632111600000,0.069949,0.069967,0.069902,0.069945,242.6975,ETH/BTC,binance
0.048,1632111900000,0.069947,0.070067,0.069947,0.070029,223.641,ETH/BTC,binance
0.049,1632112200000,0.070028,0.070199,0.070016,0.070196,268.1494,ETH/BTC,binance
0.05,1632112500000,0.070196,0.070196,0.070139,0.070179,208.6089,ETH/BTC,binance
0.051,1632112800000,0.070173,0.070176,0.070131,0.070159,154.0854,ETH/BTC,binance
0.052,1632113100000,0.070156,0.070156,0.070038,0.070095,328.9897,ETH/BTC,binance
0.053,1632113400000,0.070094,0.070297,0.070094,0.070146,324.149,ETH/BTC,binance
0.054,1632113700000,0.070149,0.070188,0.070068,0.070121,275.5581,ETH/BTC,binance
0.055,1632114000000,0.070119,0.07023,0.070069,0.070166,347.2958,ETH/BTC,binance
0.056,1632114300000,0.070161,0.070237,0.070143,0.070228,299.7058,ETH/BTC,binance
0.057,1632114600000,0.070218,0.07024,0.070154,0.07024,153.0081,ETH/BTC,binance
0.058,1632114900000,0.070234,0.070256,0.070181,0.070222,211.7507,ETH/BTC,binance
0.059,1632115200000,0.070226,0.070263,0.070138,0.070158,127.4388,ETH/BTC,binance
0.06,1632115500000,0.07017,0.07017,0.070119,0.070149,192.8959,ETH/BTC,binance
0.061,1632115800000,0.070149,0.07015,0.070039,0.070058,118.9567,ETH/BTC,binance
0.062,1632116100000,0.070056,0.070058,0.070013,0.070021,97.3787,ETH/BTC,binance
0.063,1632116400000,0.070025,0.070035,0.069969,0.069969,368.338,ETH/BTC,binance
0.064,1632116700000,0.06997,0.070107,0.06997,0.070003,360.8084,ETH/BTC,binance
0.065,1632117000000,0.070008,0.070042,0.06998,0.070017,199.5399,ETH/BTC,binance
0.066,1632117300000,0.070018,0.070093,0.069994,0.070053,169.9356,ETH/BTC,binance
0.067,1632117600000,0.070054,0.070138,0.070038,0.070076,175.0819,ETH/BTC,binance
0.068,1632117900000,0.070069,0.070077,0.069962,0.069996,186.3137,ETH/BTC,binance
0.069,1632118200000,0.069999,0.070021,0.069844,0.069858,182.8598,ETH/BTC,binance
0.07,1632118500000,0.06985,0.069904,0.069775,0.06989,246.764,ETH/BTC,binance
0.071,1632118800000,0.069885,0.069974,0.069842,0.069918,264.9216,ETH/BTC,binance
0.072,1632119100000,0.069917,0.06993,0.069826,0.069877,234.77,ETH/BTC,binance
0.073,1632119400000,0.069875,0.069918,0.06977,0.069815,336.2863,ETH/BTC,binance
0.074,1632119700000,0.069818,0.069877,0.069656,0.06973,415.0432,ETH/BTC,binance
0.075,1632120000000,0.06973,0.069754,0.069639,0.06964,340.3796,ETH/BTC,binance
0.076,1632120300000,0.06964,0.069883,0.0696,0.069822,498.5952,ETH/BTC,binance
0.077,1632120600000,0.069822,0.069831,0.069696,0.069751,308.053,ETH/BTC,binance
0.078,1632120900000,0.069748,0.069823,0.069724,0.069776,229.2815,ETH/BTC,binance
0.079,1632121200000,0.069772,0.06996,0.06977,0.069903,359.8023,ETH/BTC,binance
0.08,1632121500000,0.069909,0.069918,0.069749,0.069755,255.3219,ETH/BTC,binance
0.081,1632121800000,0.069748,0.069835,0.069696,0.069744,224.2713,ETH/BTC,binance
0.082,1632122100000,0.069749,0.069771,0.069635,0.069667,205.5455,ETH/BTC,binance
0.083,1632122400000,0.069667,0.069798,0.069627,0.069798,583.4663,ETH/BTC,binance
0.084,1632122700000,0.069798,0.069877,0.069727,0.069831,321.6241,ETH/BTC,binance
