,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1630822800000,0.077505,0.077634,0.0774,0.077603,595.4719,ETH/BTC,binance
0.001,1630823100000,0.0776,0.07778,0.077581,0.077692,426.2549,ETH/BTC,binance
0.002,1630823400000,0.077689,0.077749,0.077621,0.077714,293.279,ETH/BTC,binance
0.003,1630823700000,0.077722,0.077844,0.077719,0.077729,272.8743,ETH/BTC,binance
0.004,1630824000000,0.07773,0.077794,0.077653,0.077659,283.3544,ETH/BTC,binance
0.005,1630824300000,0.077663,0.0777,0.077625,0.077671,535.8148,ETH/BTC,binance
0.006,1630824600000,0.077671,0.077701,0.077641,0.077648,388.1456,ETH/BTC,binance
0.007,1630824900000,0.077654,0.077737,0.077654,0.077734,286.6725,ETH/BTC,binance
0.008,1630825200000,0.077744,0.077776,0.077687,0.077725,376.3459,ETH/BTC,binance
0.009,1630825500000,0.077725,0.077769,0.077625,0.077726,357.1267,ETH/BTC,binance
0.01,1630825800000,0.077727,0.077771,0.077678,0.077689,289.0448,ETH/BTC,binance
0.011,1630826100000,0.077689,0.077748,0.077689,0.077734,247.3746,ETH/BTC,binance
0.012,1630826400000,0.077738,0.077754,0.077656,0.077719,341.6064,ETH/BTC,binance
0.013,1630826700000,0.077717,0.077737,0.07765,0.077667,207.4144,ETH/BTC,binance
0.014,1630827000000,0.077667,0.077742,0.077664,0.077729,171.7945,ETH/BTC,binance
0.015,1630827300000,0.077729,0.07773,0.077669,0.077706,188.0221,ETH/BTC,binance
0.016,1630827600000,0.077707,0.077796,0.077672,0.077703,359.1202,ETH/BTC,binance
0.017,1630827900000,0.077703,0.077704,0.077579,0.077628,256.9372,ETH/BTC,binance
0.018,1630828200000,0.077629,0.077672,0.077564,0.077626,208.7795,ETH/BTC,binance
0.019,1630828500000,0.077618,0.077661,0.077575,0.077637,202.3621,ETH/BTC,binance
0.02,1630828800000,0.077638,0.077684,0.077493,0.077541,422.9226,ETH/BTC,binance
0.021,1630829100000,0.077541,0.077615,0.077536,0.0776,214.8861,ETH/BTC,binance
0.022,1630829400000,0.077601,0.07771,0.077598,0.077646,251.7199,ETH/BTC,binance
0.023,1630829700000,0.077647,0.077692,0.077566,0.077569,243.769,ETH/BTC,binance
0.024,1630830000000,0.077569,0.077618,0.077548,0.077587,241.6595,ETH/BTC,binance
0.025,1630830300000,0.077588,0.077689,0.077579,0.077676,192.9339,ETH/BTC,binance
0.026,1630830600000,0.077677,0.077709,0.077637,0.077653,175.2032,ETH/BTC,binance
0.027,1630830900000,0.077656,0.077766,0.077636,0.07771,310.5299,ETH/BTC,binance
0.028,1630831200000,0.077709,0.077855,0.077659,0.077816,571.9122,ETH/BTC,binance
0.029,1630831500000,0.077806,0.077924,0.077715,0.077918,592.4319,ETH/BTC,binance
0.03,1630831800000,0.077919,0.078094,0.077863,0.078091,961.7037,ETH/BTC,binance
0.031,1630832100000,0.07809,0.078217,0.078089,0.07813,573.3047,ETH/BTC,binance
0.032,1630832400000,0.078131,0.078335,0.078131,0.078238,796.5372,ETH/BTC,binance
0.033,1630832700000,0.078241,0.07827,0.078115,0.07827,338.2677,ETH/BTC,binance
0.034,1630833000000,0.078273,0.078284,0.078198,0.07826,256.625,ETH/BTC,binance
0.035,1630833300000,0.078257,0.078261,0.078114,0.078247,369.1476,ETH/BTC,binance
0.036,1630833600000,0.078245,0.078245,0.078101,0.078169,288.6187,ETH/BTC,binance
0.037,1630833900000,0.078173,0.078193,0.078109,0.078109,204.0701,ETH/BTC,binance
0.038,1630834200000,0.078109,0.07817,0.078006,0.07809,457.3465,ETH/BTC,binance
0.039,1630834500000,0.07809,0.078151,0.078055,0.078128,228.8878,ETH/BTC,binance
0.04,1630834800000,0.078125,0.078126,0.078019,0.078058,318.7117,ETH/BTC,binance
0.041,1630835100000,0.078056,0.078139,0.078013,0.078084,540.0427,ETH/BTC,binance
0.042,1630835400000,0.078084,0.078313,0.078083,0.078297,269.9494,ETH/BTC,binance
0.043,1630835700000,0.078298,0.0784,0.078281,0.078362,879.8027,ETH/BTC,binance
0.044,1630836000000,0.07837,0.078418,0.078321,0.078355,597.606,ETH/BTC,binance
0.045,1630836300000,0.07836,0.07863,0.078355,0.078528,1337.3476,ETH/BTC,binance
0.046,1630836600000,0.078528,0.078557,0.078386,0.078482,597.2459,ETH/BTC,binance
0.047,1630836900000,0.078491,0.078633,0.078441,0.078628,838.0818,ETH/BTC,binance
0.048,1630837200000,0.078628,0.078767,0.078512,0.078571,1123.0364,ETH/BTC,binance
0.049,1630837500000,0.078573,0.078595,0.078465,0.078483,514.7636,ETH/BTC,binance
0.05,1630837800000,0.078482,0.078575,0.078392,0.078533,477.388,ETH/BTC,binance
0.051,1630838100000,0.078529,0.07854,0.078422,0.078449,469.7906,ETH/BTC,binance
0.052,1630838400000,0.078452,0.078498,0.078398,0.078464,475.0843,ETH/BTC,binance
0.053,1630838700000,0.078466,0.07849,0.078286,0.078427,462.7389,ETH/BTC,binance
0.054,1630839000000,0.078428,0.078454,0.078362,0.07844,260.3828,ETH/BTC,binance
0.055,1630839300000,0.078439,0.078478,0.07839,0.0784,302.6474,ETH/BTC,binance
0.056,1630839600000,0.078401,0.078479,0.078371,0.078443,771.2155,ETH/BTC,binance
0.057,1630839900000,0.078443,0.078563,0.078397,0.078479,759.3935,ETH/BTC,binance
0.058,1630840200000,0.078479,0.078505,0.078372,0.078379,420.1364,ETH/BTC,binance
0.059,1630840500000,0.078375,0.078379,0.078127,0.078251,864.4758,ETH/BTC,binance
0.06,1630840800000,0.078251,0.07837,0.078225,0.078328,889.3719,ETH/BTC,binance
0.061,1630841100000,0.078335,0.078415,0.07826,0.078327,420.9954,ETH/BTC,binance
0.062,1630841400000,0.078307,0.078318,0.07814,0.078152,664.1086,ETH/BTC,binance
0.063,1630841700000,0.078155,0.078185,0.07809,0.078132,380.6743,ETH/BTC,binance
0.064,1630842000000,0.078131,0.078166,0.078099,0.078117,447.4164,ETH/BTC,binance
