,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1631122800000,0.075091,0.075166,0.075088,0.075123,612.1678,ETH/BTC,binance
0.001,1631123100000,0.075125,0.07516,0.075004,0.075004,575.8225,ETH/BTC,binance
0.002,1631123400000,0.075004,0.075375,0.075004,0.075338,1237.5696,ETH/BTC,binance
0.003,1631123700000,0.075339,0.075413,0.075244,0.075301,936.0402,ETH/BTC,binance
0.004,1631124000000,0.075302,0.075347,0.075179,0.075263,553.6389,ETH/BTC,binance
0.005,1631124300000,0.075263,0.075462,0.075263,0.075457,716.9746,ETH/BTC,binance
0.006,1631124600000,0.075457,0.075603,0.075379,0.075382,799.2698,ETH/BTC,binance
0.007,1631124900000,0.075384,0.075388,0.075263,0.075315,666.1409,ETH/BTC,binance
0.008,1631125200000,0.075311,0.075774,0.075286,0.075687,1031.5312,ETH/BTC,binance
0.009,1631125500000,0.075686,0.075706,0.075572,0.075692,757.7196,ETH/BTC,binance
0.01,1631125800000,0.075689,0.075815,0.075678,0.075806,782.9393,ETH/BTC,binance
0.011,1631126100000,0.075807,0.075912,0.075756,0.075826,582.5803,ETH/BTC,binance
0.012,1631126400000,0.075827,0.0759,0.07582,0.075883,449.1943,ETH/BTC,binance
0.013,1631126700000,0.075884,0.0759,0.075771,0.075838,527.3641,ETH/BTC,binance
0.014,1631127000000,0.075838,0.075989,0.075775,0.075969,335.2414,ETH/BTC,binance
0.015,1631127300000,0.075978,0.076079,0.075968,0.076049,702.1041,ETH/BTC,binance
0.016,1631127600000,0.076052,0.076098,0.075782,0.075832,697.0774,ETH/BTC,binance
0.017,1631127900000,0.075834,0.076094,0.075826,0.076086,890.6901,ETH/BTC,binance
0.018,1631128200000,0.076084,0.076189,0.076001,0.076174,993.6105,ETH/BTC,binance
0.019,1631128500000,0.076174,0.076261,0.076071,0.076086,1209.3092,ETH/BTC,binance
0.02,1631128800000,0.076085,0.076159,0.076044,0.076148,362.8439,ETH/BTC,binance
0.021,1631129100000,0.076149,0.076188,0.07607,0.076136,332.0317,ETH/BTC,binance
0.022,1631129400000,0.076136,0.07615,0.075976,0.075985,366.3236,ETH/BTC,binance
0.023,1631129700000,0.075982,0.076033,0.075828,0.075925,441.1534,ETH/BTC,binance
0.024,1631130000000,0.075928,0.076,0.075891,0.075987,246.1539,ETH/BTC,binance
0.025,1631130300000,0.075993,0.076,0.075915,0.075917,255.5989,ETH/BTC,binance
0.026,1631130600000,0.075926,0.075973,0.0759,0.07591,346.5576,ETH/BTC,binance
0.027,1631130900000,0.075917,0.075945,0.075863,0.075875,523.3127,ETH/BTC,binance
0.028,1631131200000,0.075879,0.075886,0.075694,0.075723,594.8156,ETH/BTC,binance
0.029,1631131500000,0.075732,0.075849,0.07571,0.075744,422.7712,ETH/BTC,binance
0.03,1631131800000,0.075736,0.075756,0.075431,0.075527,532.1441,ETH/BTC,binance
0.031,1631132100000,0.075531,0.075622,0.075443,0.075537,631.4314,ETH/BTC,binance
0.032,1631132400000,0.075537,0.075567,0.07541,0.075451,568.2818,ETH/BTC,binance
0.033,1631132700000,0.075449,0.075563,0.075358,0.075515,230.14,ETH/BTC,binance
0.034,1631133000000,0.075511,0.0756,0.075479,0.075556,241.6752,ETH/BTC,binance
0.035,1631133300000,0.075562,0.075597,0.075486,0.075506,168.7462,ETH/BTC,binance
0.036,1631133600000,0.075517,0.075596,0.075403,0.075436,170.2326,ETH/BTC,binance
0.037,1631133900000,0.075432,0.075495,0.075329,0.075329,220.6024,ETH/BTC,binance
0.038,1631134200000,0.075332,0.075443,0.075329,0.075385,210.0375,ETH/BTC,binance
0.039,1631134500000,0.075384,0.075424,0.075333,0.075383,152.6635,ETH/BTC,binance
0.04,1631134800000,0.075392,0.0756,0.075377,0.075511,422.8694,ETH/BTC,binance
0.041,1631135100000,0.0755,0.0755,0.075399,0.075437,134.0801,ETH/BTC,binance
0.042,1631135400000,0.075437,0.075446,0.075304,0.075318,174.0716,ETH/BTC,binance
0.043,1631135700000,0.075318,0.075383,0.075241,0.075272,147.2203,ETH/BTC,binance
0.044,1631136000000,0.075267,0.075305,0.075233,0.075279,254.4473,ETH/BTC,binance
0.045,1631136300000,0.075284,0.075331,0.075186,0.075278,210.6269,ETH/BTC,binance
0.046,1631136600000,0.075278,0.0753,0.075172,0.075187,134.3106,ETH/BTC,binance
0.047,1631136900000,0.075186,0.075263,0.075139,0.075254,142.3064,ETH/BTC,binance
0.048,1631137200000,0.075254,0.075342,0.075182,0.075292,158.6287,ETH/BTC,binance
0.049,1631137500000,0.075295,0.075333,0.075237,0.075237,168.0305,ETH/BTC,binance
0.05,1631137800000,0.075237,0.075237,0.075004,0.075011,420.4293,ETH/BTC,binance
0.051,1631138100000,0.075011,0.0752,0.074957,0.075127,283.0592,ETH/BTC,binance
0.052,1631138400000,0.075128,0.07529,0.075072,0.075255,260.1228,ETH/BTC,binance
0.053,1631138700000,0.075237,0.075538,0.075223,0.07544,737.7978,ETH/BTC,binance
0.054,1631139000000,0.07545,0.075724,0.075428,0.075678,367.0855,ETH/BTC,binance
0.055,1631139300000,0.075679,0.075926,0.075679,0.075894,728.1898,ETH/BTC,binance
0.056,1631139600000,0.075898,0.076167,0.075898,0.076068,1241.9932,ETH/BTC,binance
0.057,1631139900000,0.076063,0.076159,0.076004,0.076057,523.794,ETH/BTC,binance
0.058,1631140200000,0.076062,0.076324,0.07604,0.076321,399.3248,ETH/BTC,binance
0.059,1631140500000,0.076324,0.076373,0.076101,0.076164,388.1918,ETH/BTC,binance
0.06,1631140800000,0.076164,0.076235,0.076067,0.076108,375.3709,ETH/BTC,binance
0.061,1631141100000,0.076132,0.076172,0.075981,0.07606,407.0461,ETH/BTC,binance
0.062,1631141400000,0.076059,0.076105,0.076015,0.076036,327.3902,ETH/BTC,binance
0.063,1631141700000,0.076018,0.076025,0.075816,0.07587,400.5221,ETH/BTC,binance
0.064,1631142000000,0.075873,0.076097,0.075844,0.076017,475.0623,ETH/BTC,binance
0.065,1631142300000,0.07601,0.076061,0.075755,0.075912,768.9983,ETH/BTC,binance
0.066,1631142600000,0.075912,0.075912,0.075792,0.075866,324.1954,ETH/BTC,binance
0.067,1631142900000,0.075865,0.075881,0.075743,0.075744,189.5657,ETH/BTC,binance
0.068,1631143200000,0.075752,0.075842,0.075726,0.075842,398.1627,ETH/BTC,binance
0.069,1631143500000,0.075841,0.076151,0.07584,0.076127,1051.5186,ETH/BTC,binance
0.07,1631143800000,0.076127,0.076242,0.076087,0.076199,1140.5368,ETH/BTC,binance
0.071,1631144100000,0.076199,0.07623,0.076069,0.076207,1036.8754,ETH/BTC,binance
0.072,1631144400000,0.076207,0.076251,0.076127,0.076127,955.7204,ETH/BTC,binance
0.073,1631144700000,0.076127,0.076144,0.07583,0.075837,1014.4937,ETH/BTC,binance
0.074,1631145000000,0.075831,0.075839,0.075698,0.075699,224.5061,ETH/BTC,binance
0.075,1631145300000,0.0757,0.075969,0.0757,0.075969,447.3751,ETH/BTC,binance
0.076,1631145600000,0.075969,0.076214,0.075969,0.076149,674.1425,ETH/BTC,binance
0.077,1631145900000,0.076153,0.076242,0.075798,0.075996,1280.5694,ETH/BTC,binance
0.078,1631146200000,0.07599,0.075992,0.075566,0.075591,2533.5386,ETH/BTC,binance
0.079,1631146500000,0.075598,0.075722,0.075556,0.075688,540.7968,ETH/BTC,binance
0.08,1631146800000,0.075688,0.075746,0.075626,0.075722,263.2056,ETH/BTC,binance
0.081,1631147100000,0.075727,0.075727,0.075428,0.075428,422.6674,ETH/BTC,binance
0.082,1631147400000,0.075429,0.07565,0.075409,0.075603,270.4152,ETH/BTC,binance
0.083,1631147700000,0.075595,0.075915,0.07556,0.075799,903.6124,ETH/BTC,binance
0.084,1631148000000,0.075802,0.075843,0.075681,0.075719,894.166,ETH/BTC,binance
0.085,1631148300000,0.075724,0.075757,0.075358,0.075655,974.9261,ETH/BTC,binance
