,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1632622800000,0.068043,0.068043,0.067923,0.067989,182.709,ETH/BTC,binance
0.001,1632623100000,0.067978,0.06801,0.067825,0.067911,230.4557,ETH/BTC,binance
0.002,1632623400000,0.067907,0.068021,0.067876,0.067956,250.0163,ETH/BTC,binance
0.003,1632623700000,0.067943,0.068087,0.067943,0.068021,137.1087,ETH/BTC,binance
0.004,1632624000000,0.068021,0.068074,0.067989,0.068034,160.928,ETH/BTC,binance
0.005,1632624300000,0.068036,0.068092,0.067963,0.067963,179.8578,ETH/BTC,binance
0.006,1632624600000,0.067968,0.068021,0.067949,0.067959,125.081,ETH/BTC,binance
0.007,1632624900000,0.067953,0.067953,0.06786,0.0679,130.799,ETH/BTC,binance
0.008,1632625200000,0.06791,0.06791,0.067783,0.067869,230.0501,ETH/BTC,binance
0.009,1632625500000,0.067866,0.068049,0.067854,0.067977,302.3053,ETH/BTC,binance
0.01,1632625800000,0.067978,0.067985,0.067889,0.0679,113.1369,ETH/BTC,binance
0.011,1632626100000,0.067897,0.067983,0.067844,0.067983,152.6571,ETH/BTC,binance
0.012,1632626400000,0.067992,0.068029,0.067924,0.067963,181.5224,ETH/BTC,binance
0.013,1632626700000,0.067953,0.068032,0.067949,0.067971,172.366,ETH/BTC,binance
0.014,1632627000000,0.067969,0.068032,0.067889,0.067987,150.3219,ETH/BTC,binance
0.015,1632627300000,0.067987,0.067992,0.067868,0.067942,118.7331,ETH/BTC,binance
0.016,1632627600000,0.067949,0.067953,0.067837,0.06784,88.5522,ETH/BTC,binance
0.017,1632627900000,0.06784,0.067881,0.067789,0.067826,130.8621,ETH/BTC,binance
0.018,1632628200000,0.06782,0.067915,0.067792,0.067914,96.9611,ETH/BTC,binance
0.019,1632628500000,0.067916,0.06794,0.067847,0.067901,190.3125,ETH/BTC,binance
0.02,1632628800000,0.067902,0.067902,0.067766,0.067786,235.3432,ETH/BTC,binance
0.021,1632629100000,0.067788,0.067823,0.0677,0.067713,202.0037,ETH/BTC,binance
