,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1632930000000,0.068933,0.068949,0.06851,0.068736,1680.5398,ETH/BTC,binance
0.001,1632930300000,0.06874,0.068744,0.068542,0.068543,319.1226,ETH/BTC,binance
0.002,1632930600000,0.068543,0.068629,0.068508,0.06851,255.8244,ETH/BTC,binance
0.003,1632930900000,0.068512,0.068653,0.0685,0.068624,331.7507,ETH/BTC,binance
0.004,1632931200000,0.068611,0.068768,0.068598,0.0687,277.5132,ETH/BTC,binance
0.005,1632931500000,0.068696,0.068706,0.06864,0.068676,213.0981,ETH/BTC,binance
0.006,1632931800000,0.068671,0.068782,0.068618,0.068713,199.5286,ETH/BTC,binance
0.007,1632932100000,0.068708,0.068795,0.0687,0.06871,106.7595,ETH/BTC,binance
0.008,1632932400000,0.068714,0.06874,0.06843,0.068523,529.7678,ETH/BTC,binance
0.009,1632932700000,0.068528,0.068632,0.068498,0.06863,218.6283,ETH/BTC,binance
0.01,1632933000000,0.06863,0.068645,0.068567,0.068592,191.3755,ETH/BTC,binance
0.011,1632933300000,0.068594,0.068639,0.068545,0.068606,181.3706,ETH/BTC,binance
0.012,1632933600000,0.06861,0.068648,0.068546,0.068591,193.5636,ETH/BTC,binance
0.013,1632933900000,0.068591,0.068617,0.068561,0.068612,155.8236,ETH/BTC,binance
0.014,1632934200000,0.06861,0.0687,0.0686,0.068639,151.6772,ETH/BTC,binance
0.015,1632934500000,0.068639,0.068697,0.068539,0.068547,144.5585,ETH/BTC,binance
0.016,1632934800000,0.068545,0.068627,0.0685,0.068502,175.7822,ETH/BTC,binance
0.017,1632935100000,0.0685,0.068535,0.068443,0.068535,141.171,ETH/BTC,binance
0.018,1632935400000,0.068527,0.068589,0.068492,0.068496,97.2917,ETH/BTC,binance
0.019,1632935700000,0.068502,0.068577,0.068388,0.068572,295.0487,ETH/BTC,binance
0.02,1632936000000,0.068568,0.068619,0.068522,0.068548,121.6412,ETH/BTC,binance
0.021,1632936300000,0.06855,0.068594,0.0685,0.068572,197.7569,ETH/BTC,binance
0.022,1632936600000,0.068573,0.068575,0.068457,0.068506,185.8328,ETH/BTC,binance
0.023,1632936900000,0.068502,0.068502,0.068403,0.068403,129.9466,ETH/BTC,binance
0.024,1632937200000,0.068408,0.068419,0.068222,0.068292,325.6054,ETH/BTC,binance
0.025,1632937500000,0.068295,0.068295,0.068146,0.068268,523.951,ETH/BTC,binance
0.026,1632937800000,0.068268,0.068282,0.068133,0.06817,163.1677,ETH/BTC,binance
0.027,1632938100000,0.06817,0.068297,0.068148,0.068274,208.7901,ETH/BTC,binance
0.028,1632938400000,0.068273,0.068391,0.068234,0.068373,395.6857,ETH/BTC,binance
0.029,1632938700000,0.068372,0.068456,0.068122,0.068223,640.322,ETH/BTC,binance
0.03,1632939000000,0.068228,0.06827,0.068166,0.068259,271.3956,ETH/BTC,binance
0.031,1632939300000,0.068264,0.068356,0.068233,0.068305,199.5561,ETH/BTC,binance
0.032,1632939600000,0.068295,0.068319,0.068257,0.068308,116.8182,ETH/BTC,binance
0.033,1632939900000,0.068305,0.068317,0.068205,0.068214,143.4889,ETH/BTC,binance
0.034,1632940200000,0.068214,0.068323,0.0682,0.068264,160.3665,ETH/BTC,binance
0.035,1632940500000,0.068263,0.068365,0.068231,0.068361,152.9647,ETH/BTC,binance
0.036,1632940800000,0.068361,0.068409,0.068343,0.068387,148.0262,ETH/BTC,binance
0.037,1632941100000,0.068383,0.068403,0.068283,0.068372,331.4466,ETH/BTC,binance
0.038,1632941400000,0.068379,0.068451,0.068359,0.068418,184.7925,ETH/BTC,binance
0.039,1632941700000,0.068414,0.068414,0.068231,0.068231,170.9401,ETH/BTC,binance
0.04,1632942000000,0.068233,0.06832,0.068175,0.068211,183.5687,ETH/BTC,binance
0.041,1632942300000,0.068215,0.068308,0.068175,0.068297,236.0057,ETH/BTC,binance
0.042,1632942600000,0.068279,0.068287,0.068164,0.068176,177.292,ETH/BTC,binance
0.043,1632942900000,0.068172,0.068265,0.06816,0.068202,214.594,ETH/BTC,binance
0.044,1632943200000,0.068201,0.06831,0.068171,0.068249,148.4088,ETH/BTC,binance
0.045,1632943500000,0.068249,0.068275,0.06817,0.068245,140.1032,ETH/BTC,binance
0.046,1632943800000,0.068238,0.06828,0.068176,0.068268,116.0933,ETH/BTC,binance
0.047,1632944100000,0.068267,0.068295,0.068229,0.068255,161.1279,ETH/BTC,binance
0.048,1632944400000,0.068256,0.068309,0.068251,0.068283,105.8995,ETH/BTC,binance
0.049,1632944700000,0.068284,0.068292,0.068239,0.068277,103.5845,ETH/BTC,binance
0.05,1632945000000,0.068267,0.068269,0.068155,0.068187,330.6947,ETH/BTC,binance
0.051,1632945300000,0.068186,0.068204,0.068154,0.068192,120.0273,ETH/BTC,binance
0.052,1632945600000,0.068193,0.068252,0.068172,0.06825,325.5007,ETH/BTC,binance
0.053,1632945900000,0.06825,0.06825,0.068104,0.068159,272.2124,ETH/BTC,binance
0.054,1632946200000,0.068153,0.068202,0.068032,0.068066,635.5514,ETH/BTC,binance
0.055,1632946500000,0.068059,0.068077,0.067937,0.068006,1793.2458,ETH/BTC,binance
0.056,1632946800000,0.068008,0.06813,0.067995,0.06807,760.258,ETH/BTC,binance
0.057,1632947100000,0.06807,0.068189,0.068025,0.06818,442.2881,ETH/BTC,binance
0.058,1632947400000,0.068179,0.068306,0.068166,0.068272,293.2872,ETH/BTC,binance
0.059,1632947700000,0.068272,0.068383,0.068255,0.068365,350.9525,ETH/BTC,binance
0.06,1632948000000,0.06837,0.068408,0.068339,0.068385,232.4226,ETH/BTC,binance
0.061,1632948300000,0.068385,0.068426,0.068328,0.068373,230.3903,ETH/BTC,binance
0.062,1632948600000,0.068368,0.068405,0.068278,0.06839,159.199,ETH/BTC,binance
0.063,1632948900000,0.068391,0.068649,0.068378,0.068603,413.3228,ETH/BTC,binance
