,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1635330000000,0.068109,0.068264,0.068076,0.068152,530.0191,ETH/BTC,binance
0.001,1635330300000,0.068158,0.06816,0.067892,0.067968,542.7083,ETH/BTC,binance
0.002,1635330600000,0.067969,0.068038,0.067787,0.067976,772.2603,ETH/BTC,binance
0.003,1635330900000,0.067989,0.068005,0.067866,0.067999,142.1267,ETH/BTC,binance
0.004,1635331200000,0.067996,0.068163,0.067996,0.068163,187.0951,ETH/BTC,binance
0.005,1635331500000,0.068158,0.068158,0.068037,0.068077,211.6896,ETH/BTC,binance
0.006,1635331800000,0.068086,0.06819,0.067981,0.068187,457.5181,ETH/BTC,binance
0.007,1635332100000,0.068187,0.068233,0.068175,0.06822,246.4118,ETH/BTC,binance
0.008,1635332400000,0.06822,0.068261,0.068182,0.068233,178.3664,ETH/BTC,binance
0.009,1635332700000,0.06823,0.068336,0.068183,0.068297,414.6499,ETH/BTC,binance
0.01,1635333000000,0.068297,0.068383,0.06828,0.068369,383.6098,ETH/BTC,binance
0.011,1635333300000,0.068368,0.068385,0.068285,0.068325,314.1752,ETH/BTC,binance
0.012,1635333600000,0.068316,0.068384,0.068241,0.068277,282.4843,ETH/BTC,binance
0.013,1635333900000,0.068273,0.068287,0.068227,0.068262,155.0707,ETH/BTC,binance
0.014,1635334200000,0.06826,0.06826,0.068135,0.068207,257.6329,ETH/BTC,binance
0.015,1635334500000,0.068207,0.06827,0.068204,0.068246,330.5131,ETH/BTC,binance
0.016,1635334800000,0.068247,0.068269,0.06808,0.068151,325.9573,ETH/BTC,binance
0.017,1635335100000,0.068149,0.068275,0.068126,0.06816,253.3493,ETH/BTC,binance
0.018,1635335400000,0.06816,0.068237,0.068075,0.068087,231.6198,ETH/BTC,binance
0.019,1635335700000,0.068087,0.068183,0.068072,0.068167,217.4765,ETH/BTC,binance
0.02,1635336000000,0.068167,0.068168,0.067857,0.068,738.5196,ETH/BTC,binance
0.021,1635336300000,0.068,0.06814,0.067999,0.06809,227.5196,ETH/BTC,binance
0.022,1635336600000,0.068086,0.068151,0.068042,0.068102,218.0137,ETH/BTC,binance
0.023,1635336900000,0.068112,0.068135,0.068009,0.068011,268.4148,ETH/BTC,binance
0.024,1635337200000,0.068011,0.068114,0.067985,0.06807,397.7494,ETH/BTC,binance
0.025,1635337500000,0.06807,0.068173,0.068054,0.068169,189.4551,ETH/BTC,binance
0.026,1635337800000,0.06817,0.068212,0.06812,0.068186,156.5985,ETH/BTC,binance
0.027,1635338100000,0.068188,0.068208,0.068135,0.068153,237.6122,ETH/BTC,binance
0.028,1635338400000,0.068155,0.06816,0.068013,0.068029,201.3031,ETH/BTC,binance
0.029,1635338700000,0.068029,0.068049,0.0679,0.068029,422.8363,ETH/BTC,binance
0.03,1635339000000,0.068029,0.068036,0.067925,0.068013,375.6388,ETH/BTC,binance
0.031,1635339300000,0.068014,0.068015,0.067914,0.067969,184.6558,ETH/BTC,binance
0.032,1635339600000,0.067978,0.067979,0.067861,0.06793,232.9649,ETH/BTC,binance
0.033,1635339900000,0.06793,0.068089,0.06793,0.06806,346.901,ETH/BTC,binance
0.034,1635340200000,0.068052,0.068092,0.068,0.068012,197.9472,ETH/BTC,binance
0.035,1635340500000,0.06802,0.068034,0.067922,0.06795,191.7364,ETH/BTC,binance
0.036,1635340800000,0.06795,0.067967,0.067837,0.067845,134.7385,ETH/BTC,binance
0.037,1635341100000,0.067844,0.067875,0.0677,0.067779,967.142,ETH/BTC,binance
0.038,1635341400000,0.06778,0.067822,0.067696,0.067801,290.7492,ETH/BTC,binance
0.039,1635341700000,0.067801,0.067976,0.067795,0.067941,321.5145,ETH/BTC,binance
0.04,1635342000000,0.067942,0.067976,0.067857,0.067976,539.437,ETH/BTC,binance
0.041,1635342300000,0.067976,0.067976,0.067766,0.067785,483.6099,ETH/BTC,binance
0.042,1635342600000,0.067783,0.06784,0.067731,0.067768,205.5393,ETH/BTC,binance
0.043,1635342900000,0.067767,0.067789,0.06765,0.067668,400.7789,ETH/BTC,binance
0.044,1635343200000,0.067692,0.06775,0.067646,0.067686,324.8368,ETH/BTC,binance
0.045,1635343500000,0.067695,0.067776,0.067684,0.067755,208.0047,ETH/BTC,binance
0.046,1635343800000,0.067757,0.06777,0.067551,0.067653,725.5043,ETH/BTC,binance
0.047,1635344100000,0.067658,0.067705,0.0676,0.067648,502.8225,ETH/BTC,binance
0.048,1635344400000,0.067649,0.067981,0.067551,0.067922,679.8854,ETH/BTC,binance
0.049,1635344700000,0.067924,0.067934,0.067792,0.06781,461.7198,ETH/BTC,binance
0.05,1635345000000,0.067809,0.067959,0.067794,0.0679,208.9771,ETH/BTC,binance
0.051,1635345300000,0.0679,0.068044,0.067845,0.067943,447.5515,ETH/BTC,binance
0.052,1635345600000,0.067946,0.068071,0.067934,0.06797,402.5196,ETH/BTC,binance
0.053,1635345900000,0.067971,0.068087,0.067947,0.068005,600.4854,ETH/BTC,binance
0.054,1635346200000,0.067998,0.068004,0.067817,0.067877,327.5943,ETH/BTC,binance
0.055,1635346500000,0.067882,0.067922,0.067789,0.06784,304.0861,ETH/BTC,binance
0.056,1635346800000,0.067861,0.06789,0.067759,0.067782,247.0582,ETH/BTC,binance
0.057,1635347100000,0.067776,0.06787,0.067749,0.067862,712.6597,ETH/BTC,binance
0.058,1635347400000,0.06787,0.068027,0.06787,0.068024,264.255,ETH/BTC,binance
0.059,1635347700000,0.068024,0.068026,0.067941,0.067977,167.1586,ETH/BTC,binance
0.06,1635348000000,0.067975,0.067987,0.067773,0.067866,418.2577,ETH/BTC,binance
0.061,1635348300000,0.067861,0.067872,0.067797,0.067817,308.9806,ETH/BTC,binance
0.062,1635348600000,0.067818,0.067929,0.067818,0.067875,280.5481,ETH/BTC,binance
0.063,1635348900000,0.067876,0.067887,0.067784,0.067808,252.2221,ETH/BTC,binance
0.064,1635349200000,0.067808,0.067813,0.067703,0.067757,266.197,ETH/BTC,binance
0.065,1635349500000,0.067759,0.067818,0.067737,0.067778,161.9978,ETH/BTC,binance
0.066,1635349800000,0.067778,0.067892,0.067765,0.06781,272.7614,ETH/BTC,binance
0.067,1635350100000,0.06781,0.067925,0.06779,0.067896,323.0133,ETH/BTC,binance
0.068,1635350400000,0.067896,0.067975,0.067853,0.06789,255.7991,ETH/BTC,binance
0.069,1635350700000,0.067888,0.06792,0.067687,0.067748,399.4825,ETH/BTC,binance
0.07,1635351000000,0.067749,0.067871,0.06774,0.067774,228.6146,ETH/BTC,binance
0.071,1635351300000,0.067766,0.067824,0.067695,0.067767,237.1262,ETH/BTC,binance
0.072,1635351600000,0.06778,0.067823,0.06762,0.067632,369.9616,ETH/BTC,binance
0.073,1635351900000,0.067626,0.067675,0.067473,0.067509,534.5947,ETH/BTC,binance
0.074,1635352200000,0.067508,0.067589,0.067464,0.067567,617.9992,ETH/BTC,binance
0.075,1635352500000,0.067575,0.067794,0.06757,0.067571,265.0931,ETH/BTC,binance
0.076,1635352800000,0.06757,0.067724,0.067526,0.067722,267.8947,ETH/BTC,binance
0.077,1635353100000,0.067722,0.067742,0.067645,0.067661,212.8062,ETH/BTC,binance
0.078,1635353400000,0.067661,0.067754,0.067596,0.067745,252.2855,ETH/BTC,binance
0.079,1635353700000,0.067746,0.067746,0.067581,0.067584,202.1795,ETH/BTC,binance
0.08,1635354000000,0.067583,0.067642,0.067551,0.06759,197.5446,ETH/BTC,binance
0.081,1635354300000,0.067587,0.06763,0.067574,0.067617,130.501,ETH/BTC,binance
0.082,1635354600000,0.067617,0.067652,0.067555,0.067588,207.5061,ETH/BTC,binance
0.083,1635354900000,0.067596,0.067627,0.06757,0.067609,154.9375,ETH/BTC,binance
0.084,1635355200000,0.067609,0.067701,0.0676,0.067648,136.691,ETH/BTC,binance
0.085,1635355500000,0.067645,0.067694,0.067631,0.067643,121.1064,ETH/BTC,binance
0.086,1635355800000,0.067644,0.067894,0.067636,0.067828,2853.2515,ETH/BTC,binance
0.087,1635356100000,0.067825,0.067825,0.067697,0.067766,239.0618,ETH/BTC,binance
0.088,1635356400000,0.067763,0.067769,0.067687,0.067712,229.6791,ETH/BTC,binance
0.089,1635356700000,0.067718,0.067737,0.06767,0.067693,175.9412,ETH/BTC,binance
0.09,1635357000000,0.067693,0.067749,0.067673,0.067686,219.2634,ETH/BTC,binance
0.091,1635357300000,0.067686,0.067727,0.067671,0.067696,190.5133,ETH/BTC,binance
0.092,1635357600000,0.067696,0.067834,0.067695,0.06783,289.5383,ETH/BTC,binance
0.093,1635357900000,0.067827,0.067833,0.067782,0.067827,118.0328,ETH/BTC,binance
0.094,1635358200000,0.067828,0.067868,0.067788,0.067789,100.1674,ETH/BTC,binance
0.095,1635358500000,0.067793,0.067879,0.067781,0.067879,228.5427,ETH/BTC,binance
0.096,1635358800000,0.067879,0.067879,0.067829,0.067858,451.3985,ETH/BTC,binance
0.097,1635359100000,0.067861,0.067864,0.067806,0.067861,332.2417,ETH/BTC,binance
