,Date,Open,High,Low,Close,Volume,symbol,exchange
0.0,1515720000000,0.086437,0.086541,0.08628,0.08628,698.067,ETH/BTC,binance
0.001,1515720300000,0.08636,0.086366,0.0861,0.086137,407.921,ETH/BTC,binance
0.002,1515720600000,0.086204,0.0869,0.08614,0.086361,664.618,ETH/BTC,binance
0.003,1515720900000,0.086361,0.08694,0.086091,0.086514,685.73,ETH/BTC,binance
0.004,1515721200000,0.086351,0.08718,0.08635,0.087,643.685,ETH/BTC,binance
0.005,1515721500000,0.087,0.087677,0.086877,0.087307,718.079,ETH/BTC,binance
0.006,1515721800000,0.087223,0.087769,0.086925,0.087466,611.302,ETH/BTC,binance
0.007,1515722100000,0.08752,0.08776,0.087244,0.087388,572.082,ETH/BTC,binance
0.008,1515722400000,0.087464,0.087848,0.087387,0.087834,456.644,ETH/BTC,binance
0.009,1515722700000,0.087834,0.08793,0.08765,0.087704,410.953,ETH/BTC,binance
0.01,1515723000000,0.087704,0.087928,0.087652,0.087707,492.255,ETH/BTC,binance
0.011,1515723300000,0.087699,0.087876,0.087501,0.08751,578.088,ETH/BTC,binance
0.012,1515723600000,0.087509,0.087902,0.087406,0.08768,539.169,ETH/BTC,binance
0.013,1515723900000,0.08768,0.08776,0.087406,0.087495,369.298,ETH/BTC,binance
0.014,1515724200000,0.087495,0.08788,0.087408,0.087674,408.914,ETH/BTC,binance
0.015,1515724500000,0.087674,0.087744,0.087602,0.087719,428.05,ETH/BTC,binance
0.016,1515724800000,0.087635,0.0878,0.087634,0.087775,561.457,ETH/BTC,binance
0.017,1515725100000,0.087659,0.087798,0.087506,0.0876,406.918,ETH/BTC,binance
0.018,1515725400000,0.087513,0.08766,0.087388,0.087401,416.029,ETH/BTC,binance
0.019,1515725700000,0.087485,0.087679,0.087388,0.087572,469.333,ETH/BTC,binance
0.02,1515726000000,0.087571,0.08785,0.08739,0.087648,374.984,ETH/BTC,binance
0.021,1515726300000,0.087649,0.087992,0.087619,0.087854,535.566,ETH/BTC,binance
0.022,1515726600000,0.087854,0.08794,0.087727,0.087729,358.672,ETH/BTC,binance
0.023,1515726900000,0.087728,0.08809,0.087654,0.087856,565.56,ETH/BTC,binance
0.024,1515727200000,0.087855,0.088199,0.087651,0.087707,608.744,ETH/BTC,binance
0.025,1515727500000,0.087707,0.087832,0.087424,0.087511,684.316,ETH/BTC,binance
0.026,1515727800000,0.087521,0.087817,0.087415,0.08772,703.282,ETH/BTC,binance
0.027,1515728100000,0.08772,0.088703,0.087597,0.087797,1292.97,ETH/BTC,binance
0.028,1515728400000,0.087841,0.0888,0.087808,0.088398,1056.977,ETH/BTC,binance
0.029,1515728700000,0.088333,0.088774,0.088034,0.088126,959.602,ETH/BTC,binance
0.03,1515729000000,0.088132,0.088486,0.088132,0.088287,609.711,ETH/BTC,binance
0.031,1515729300000,0.088391,0.0884,0.088239,0.088369,552.685,ETH/BTC,binance
0.032,1515729600000,0.088369,0.08845,0.088039,0.0881,1030.432,ETH/BTC,binance
0.033,1515729900000,0.0881,0.088174,0.087806,0.087832,621.346,ETH/BTC,binance
0.034,1515730200000,0.087833,0.087934,0.087784,0.087926,1036.516,ETH/BTC,binance
0.035,1515730500000,0.087919,0.0883,0.087785,0.087924,832.41,ETH/BTC,binance
0.036,1515730800000,0.088024,0.088175,0.087777,0.087803,655.419,ETH/BTC,binance
0.037,1515731100000,0.087803,0.087888,0.087687,0.087869,820.299,ETH/BTC,binance
0.038,1515731400000,0.087869,0.088178,0.087751,0.088051,661.773,ETH/BTC,binance
0.039,1515731700000,0.088119,0.088177,0.087771,0.087801,532.733,ETH/BTC,binance
0.04,1515732000000,0.087801,0.088045,0.087759,0.087903,517.123,ETH/BTC,binance
0.041,1515732300000,0.087903,0.08833,0.0879,0.088203,733.52,ETH/BTC,binance
0.042,1515732600000,0.088204,0.088414,0.088072,0.088226,1111.356,ETH/BTC,binance
0.043,1515732900000,0.088226,0.088547,0.087946,0.08805,914.427,ETH/BTC,binance
0.044,1515733200000,0.088049,0.088281,0.0879,0.088127,508.005,ETH/BTC,binance
0.045,1515733500000,0.088222,0.088726,0.088128,0.088726,757.437,ETH/BTC,binance
0.046,1515733800000,0.088725,0.089058,0.088605,0.088945,945.744,ETH/BTC,binance
0.047,1515734100000,0.088944,0.089097,0.088533,0.088633,884.054,ETH/BTC,binance
0.048,1515734400000,0.088633,0.088914,0.088375,0.088778,703.046,ETH/BTC,binance
0.049,1515734700000,0.088779,0.089181,0.08876,0.08908,724.028,ETH/BTC,binance
0.05,1515735000000,0.08901,0.089279,0.0889,0.089199,902.561,ETH/BTC,binance
0.051,1515735300000,0.089199,0.089287,0.08911,0.089235,523.202,ETH/BTC,binance
0.052,1515735600000,0.089182,0.08935,0.089151,0.089204,937.33,ETH/BTC,binance
0.053,1515735900000,0.089206,0.089294,0.089127,0.08918,663.517,ETH/BTC,binance
0.054,1515736200000,0.08918,0.089256,0.089112,0.089116,655.666,ETH/BTC,binance
0.055,1515736500000,0.089115,0.08922,0.089076,0.089192,781.47,ETH/BTC,binance
0.056,1515736800000,0.089192,0.08924,0.089098,0.089171,634.981,ETH/BTC,binance
0.057,1515737100000,0.089173,0.089809,0.089171,0.089449,1218.092,ETH/BTC,binance
0.058,1515737400000,0.089305,0.089445,0.089107,0.089181,732.874,ETH/BTC,binance
0.059,1515737700000,0.089181,0.089316,0.089107,0.089141,414.415,ETH/BTC,binance
0.06,1515738000000,0.089141,0.089417,0.089106,0.08913,656.521,ETH/BTC,binance
0.061,1515738300000,0.08913,0.08924,0.089,0.089,895.316,ETH/BTC,binance
0.062,1515738600000,0.08907,0.089152,0.088953,0.088953,782.366,ETH/BTC,binance
0.063,1515738900000,0.089011,0.089059,0.088572,0.088572,802.995,ETH/BTC,binance
0.064,1515739200000,0.088654,0.088906,0.088578,0.088707,583.644,ETH/BTC,binance
0.065,1515739500000,0.088707,0.08879,0.087972,0.088255,1844.015,ETH/BTC,binance
0.066,1515739800000,0.088269,0.088789,0.088145,0.0884,1493.78,ETH/BTC,binance
0.067,1515740100000,0.0884,0.088581,0.088164,0.088371,851.921,ETH/BTC,binance
0.068,1515740400000,0.088372,0.088649,0.088156,0.088467,1245.413,ETH/BTC,binance
0.069,1515740700000,0.08855,0.088875,0.088353,0.088702,1160.841,ETH/BTC,binance
0.07,1515741000000,0.088703,0.089205,0.08862,0.089183,1143.782,ETH/BTC,binance
0.071,1515741300000,0.08919,0.08944,0.089037,0.089247,871.083,ETH/BTC,binance
0.072,1515741600000,0.0892,0.0893,0.08896,0.088963,538.791,ETH/BTC,binance
0.073,1515741900000,0.089052,0.089084,0.0884,0.088696,1121.473,ETH/BTC,binance
0.074,1515742200000,0.088695,0.088755,0.088551,0.088747,723.848,ETH/BTC,binance
0.075,1515742500000,0.088665,0.088983,0.0886,0.088838,616.839,ETH/BTC,binance
0.076,1515742800000,0.088924,0.088968,0.088838,0.08885,736.792,ETH/BTC,binance
0.077,1515743100000,0.08885,0.08917,0.088839,0.089018,894.215,ETH/BTC,binance
0.078,1515743400000,0.089062,0.089135,0.088824,0.088854,891.598,ETH/BTC,binance
